State,State_Two-Letter,Annual mean wage(2),Hourly median wage
Alabama,AL,"44,930",16.73
Alaska,AK,"59,290",23.34
Arizona,AZ,"50,930",18.46
Arkansas,AR,"42,690",15.84
California,CA,"61,290",21.24
Colorado,CO,"57,690",21.28
Connecticut,CT,"62,350",23.33
Delaware,DE,"54,370",19.66
District of Columbia,DC,"89,800",35.74
Florida,FL,"47,750",17.23
Georgia,GA,"49,620",17.75
Hawaii,HI,"54,930",21.35
Idaho,ID,"44,890",17
Illinois,IL,"55,130",19.74
Indiana,IN,"46,770",17.77
Iowa,IA,"47,330",18.41
Kansas,KS,"46,520",17.79
Kentucky,KY,"44,020",17.09
Louisiana,LA,"44,170",16.66
Maine,ME,"48,470",18.45
Maryland,MD,"60,230",22.1
Massachusetts,MA,"65,680",24.14
Michigan,MI,"50,780",18.6
Minnesota,MN,"55,890",21.21
Mississippi,MS,"40,090",15
Missouri,MO,"47,820",17.88
Montana,MT,"45,370",17.51
Nebraska,NE,"48,250",18.46
Nevada,NV,"47,210",17.51
New Hampshire,NH,"53,950",19.95
New Jersey,NJ,"59,980",21.64
New Mexico,NM,"47,040",17.03
New York,NY,"63,970",22.44
North Carolina,NC,"48,550",17.75
North Dakota,ND,"50,430",20.44
Ohio,OH,"49,430",18.54
Oklahoma,OK,"45,620",17.18
Oregon,OR,"53,890",19.83
Pennsylvania,PA,"51,340",18.99
Rhode Island,RI,"57,220",21.24
South Carolina,SC,"44,380",16.68
South Dakota,SD,"42,920",16.71
Tennessee,TN,"45,650",17.26
Texas,TX,"50,490",18.28
Utah,UT,"49,420",18.23
Vermont,VT,"51,120",19.68
Virginia,VA,"56,740",20.3
Washington,WA,"62,020",23.15
West Virginia,WV,"43,420",16.31
Wisconsin,WI,"48,850",18.79
Wyoming,WY,"49,760",20.02
