,State_Two-Letter,Annual mean wage(2),mean,median,var,std,sem,State,costIndex,costRank,groceryCost,housingCost,utilitiesCost,transportationCost,miscCost
0,AK,59290.0,,,,,,Alaska,129.9,45.0,134.2,133.9,154.2,130.8,150.9
1,AL,44930.0,2.5294117647058822,2.0,0.8897058823529411,0.9432422182837986,0.2287698409721183,Alabama,89.3,11.0,97.4,71.5,103.3,88.6,90.8
2,AR,42690.0,2.7142857142857144,3.0,1.4708994708994712,1.212806444120195,0.2291988742570421,Arkansas,86.9,2.0,92.0,73.9,91.8,83.6,85.6
3,AZ,50930.0,2.792452830188679,3.0,1.2060957910014516,1.0982239257098032,0.15085265777744172,Arizona,97.0,24.0,96.9,91.7,107.4,109.6,94.7
4,CA,61290.0,3.9691756272401433,4.0,2.1317607976838757,1.4600550666614858,0.03909148169348439,California,151.7,49.0,121.4,227.3,117.7,138.9,114.5
5,CO,57690.0,2.963302752293578,3.0,1.350492694529392,1.1621070064883836,0.11130966370542408,Colorado,105.6,33.0,102.5,119.0,88.4,101.2,102.9
6,CT,62350.0,2.933333333333333,3.0,1.9279279279279273,1.3884984436173946,0.16032999003837584,Connecticut,127.7,43.0,114.2,144.7,128.1,111.8,113.7
7,DC,89800.0,3.107142857142857,3.0,1.5495889003083252,1.244824847240898,0.10520690160374206,,,,,,,,
8,DE,54370.0,3.4705882352941178,3.0,1.6397058823529411,1.280510008689093,0.31056929532268934,Delaware,108.1,35.0,113.4,98.2,96.5,107.0,101.6
9,FL,47750.0,2.5145631067961167,3.0,1.5463544641157436,1.2435250154764654,0.12252816058786672,Florida,97.9,26.0,104.0,95.4,102.2,96.7,96.9
10,GA,49620.0,2.5899280575539567,2.0,1.6784485455114173,1.2955495148821667,0.10988707563753107,Georgia,89.2,9.0,96.9,73.8,92.4,97.6,98.5
11,HI,54930.0,2.8333333333333335,3.0,1.7666666666666668,1.3291601358251257,0.5426273532033236,Hawaii,192.9,51.0,169.3,318.6,172.7,148.6,116.8
12,IA,47330.0,2.6666666666666665,3.0,1.1264367816091954,1.0613372610104648,0.19377278632539327,Iowa,90.1,13.0,95.9,79.6,95.3,95.5,97.8
13,ID,44890.0,2.5,3.0,0.7,0.8366600265340756,0.34156502553198664,Idaho,92.3,19.0,92.2,87.1,82.9,106.7,97.3
14,IL,55130.0,3.095833333333333,3.0,1.3589783821478387,1.1657522816395594,0.07524898620988853,Illinois,94.5,21.0,94.2,87.2,100.9,100.9,99.0
15,IN,46770.0,2.5217391304347827,2.0,1.5884057971014496,1.2603197201906544,0.1858240049255027,Indiana,90.0,12.0,93.3,77.3,97.0,93.1,94.3
16,KS,46520.0,2.4444444444444446,3.0,0.7777777777777777,0.8819171036881968,0.29397236789606557,Kansas,89.0,8.0,91.9,73.8,103.0,92.3,98.9
17,KY,44020.0,2.230769230769231,2.0,2.025641025641026,1.4232501627054275,0.39473857226514497,Kentucky,90.9,16.0,89.9,77.4,97.6,92.8,89.2
18,LA,44170.0,2.0,2.0,1.2,1.0954451150103321,0.4472135954999579,Louisiana,93.9,20.0,99.9,86.6,89.3,98.5,98.8
19,MA,65680.0,3.188191881918819,3.0,2.0644526445264444,1.436820324371299,0.08728061891031108,Massachusetts,131.6,46.0,113.9,170.3,109.7,116.0,117.6
20,MD,60230.0,3.0473372781065087,3.0,1.7596506058044519,1.3265182267139988,0.10203986359338452,Maryland,129.7,44.0,108.5,184.5,107.3,116.7,89.2
21,ME,48470.0,2.0,2.0,0.7692307692307693,0.8770580193070292,0.2344036154692477,Maine,117.5,40.0,107.0,123.1,116.1,121.4,121.8
22,MI,50780.0,2.4823529411764707,2.0,1.276470588235294,1.1298099788173648,0.12254509797646859,Michigan,88.9,7.0,89.3,75.2,97.3,97.4,93.0
