State,costIndex,costRank,groceryCost,housingCost,utilitiesCost,transportationCost,miscCost
MS,86.1,1,91.6,70.1,89.1,89.2,91.4
AR,86.9,2,92,73.9,91.8,83.6,85.6
OK,87,3,95.4,71.9,94.1,89.5,93.2
MO,87.1,4,96.6,70.6,99.6,87.3,95.7
NM,87.5,5,100.9,77.7,87.9,91.6,100.1
TN,88.7,6,93.3,80.2,93.4,89.7,88.5
MI,88.9,7,89.3,75.2,97.3,97.4,93
KS,89,8,91.9,73.8,103,92.3,98.9
GA,89.2,9,96.9,73.8,92.4,97.6,98.5
WY,89.3,10,98.7,72.3,87.3,99.3,94.9
AL,89.3,11,97.4,71.5,103.3,88.6,90.8
IN,90,12,93.3,77.3,97,93.1,94.3
IA,90.1,13,95.9,79.6,95.3,95.5,97.8
OH,90.8,15,98.7,73.6,91.8,96.7,97.6
NE,90.8,14,95.5,80.9,90.8,94.3,99.9
KY,90.9,16,89.9,77.4,97.6,92.8,89.2
WV,91.1,17,92.9,79.6,89,93.5,89.1
TX,91.5,18,88.9,85.3,102.3,91.4,96.2
ID,92.3,19,92.2,87.1,82.9,106.7,97.3
LA,93.9,20,99.9,86.6,89.3,98.5,98.8
IL,94.5,21,94.2,87.2,100.9,100.9,99
NC,94.9,22,96.6,83.1,97.9,93.4,110.6
SC,95.9,23,101.9,85.1,107.6,88,94.2
AZ,97,24,96.9,91.7,107.4,109.6,94.7
WI,97.3,25,100.7,91.4,98.9,98.1,115.2
FL,97.9,26,104,95.4,102.2,96.7,96.9
UT,98.4,27,98.5,93.6,89.4,108.6,96
ND,98.8,28,108.1,90.3,93.6,104.3,111.7
SD,99.8,29,107,109.8,91.8,89.8,103
VA,100.7,30,96.1,108,99.2,88.1,97.2
MN,101.6,31,106.7,88.3,96.8,103.7,108.6
PA,101.7,32,106.9,100.8,106,109.5,91.9
CO,105.6,33,102.5,119,88.4,101.2,102.9
MT,106.9,34,105.1,111.6,83.9,125,98.4
DE,108.1,35,113.4,98.2,96.5,107,101.6
NV,108.5,36,108.3,121.8,89,123.5,105.7
NH,109.7,37,100.4,110.3,119.5,111.4,116.1
WA,110.7,38,107.8,117.8,88.7,121.7,118.9
VT,114.5,39,111.3,126.7,120.2,119.9,101.2
ME,117.5,40,107,123.1,116.1,121.4,121.8
RI,119.4,41,106.2,129.4,123.5,124,109.3
NJ,125.1,42,109.5,163.1,101.6,111.1,101.7
CT,127.7,43,114.2,144.7,128.1,111.8,113.7
MD,129.7,44,108.5,184.5,107.3,116.7,89.2
AK,129.9,45,134.2,133.9,154.2,130.8,150.9
MA,131.6,46,113.9,170.3,109.7,116,117.6
OR,134.2,47,110.3,181.8,88,136.7,113.2
NY,139.1,48,114.8,204.4,108.7,116.6,104.8
CA,151.7,49,121.4,227.3,117.7,138.9,114.5
HI,192.9,51,169.3,318.6,172.7,148.6,116.8
